eat;comeré;comeremos;comerán;comerá;comeras
damage;dañaré;dañaremos;dañarán;dañará;dañarás
dance;bailaré;bailaremos;bailarán;bailará;bailarás
dawn;amanecere;amaneceras;amaneceremos;amanaceran;amanecera
deceive;engañare;engañaras;engañaremos;engañaran;engañara
decide;decidire;decidiras;decidiremos;decidiran;decidira
declare;declarare;declararas;declararemos;declararan;declarara
defend;defendere;defenderas;defenderemos;defenderan;defendera
desire;deseare;desearas;desearemos;desearan;deseara
despise;despreciare;despreciaras;despreciaremos;despreciaran;despreciara
destroy;destruire;destruiras;destruiremos;destruiran;destruira
develop;desarrollare;desarrollaras;desarrollaremos;desarrollaran;desarrollara
discover;descubrire;descubriras;descubriremos;descubriran;descubrira
dislike;disgustaremos;disgustaras;disgustaremos;disgustaran;disgustara
drop;soltara;soltaras;soltaremos;soltaran;soltara
employ;empleare;emplearas;emplearemos;emplearan;empleara
enclose;encerrare;encerraras;encerraremos;encerraran;encerrara
end;terminare;terminaras;terminaremos;terminaran;terminara
enjoy;disfrutaré;disfrutaremos;disfrutarán;disfrutará;disfrutarás
enter;entraré;entraremos;entrarán;entrará;entrarás
explain;explicaré;explicaremos;explicarán;explicará;explicarás
extract;extraeré;extraeremos;extraerán;extraerá;extraerás
fail;fallaré;fallaremos;fallarán;fallará;fallarás
fear;temeré;temeremos;temerán;temerá;temerás
fetch;buscaré;buscaremos;buscarán;buscará;buscarás
finish;terminaré;terminaremos;terminarán;terminará;terminarás
fix;arreglaré;arreglaremos;arreglarán;arreglará;arreglarás
follow;seguiré;seguiremos;seguirán;seguirá;seguirás
found;encontraré;encontraremos;encontrarán;encontrará;encontrarás
govern;gobernaré;gobernaremos;gobernarán;gobernará;gobernarás
guard;protegeré;protegeremos;protegerán;protegerá;protegerás
hang;colgaré;colgaremos;colgarán;colgará;colgarás
hate;odiaré;odiaremos;odiarán;odiará;odiarás
help;ayudaré;ayudaremos;ayudarán;ayudará;ayudarás
hunt;cazaré;cazaremos;cazarán;cazará;cazarás
import;importaré;importaremos;importarán;importará;importarás
impress;impresionaré;impresionaremos;impresionarán;impresionará;impresionarás
include;incluiré;incluiremos;incluirán;incluirá;incluirás
invent;inventaré;inventaremos;inventarán;inventará;inventarás
invite;invitaré;invitaremos;invitarán;invitará;invitarás
join;uniré;uniremos;unirán;unirá;unirás;unirás
joke;bromearé;bromearemos;bromearán;bromeará;bromearás
jump;saltaré;saltaremos;saltarán;saltará;saltarás
kick;golpearé;golpearemos;golpearán;golpeará;golpearás
kill;mataré;mataremos;matarán;matará;matarás
kiss;besaré;besaremos;besarán;besará;besarás
knock;golpearé;golpearemos;golpearán;golpeará;golpearás
laugh;reiré;reiremos;reirán;reirá;reirás
lie;mentiré;mentiremos;mentirán;mentirá;mentirás
like;gustaré;gustaremos;gustarán;gustará;gustarás
listen;escucharé;escucharemos;escucharán;escuchará;escucharás
live;viveré;viviremos;vivirán;vivirá;vivirás
look;miraré;miraremos;mirarán;mirará;mirarás
love;amaré;amaremos;amarán;amará;amarás
marry;casaré;casaremos;casarán;casará;casarás
move;moveré;moveremos;moverán;moverá;moverás
open;abriré;abrirás;abriremos;abrirán;abrirá
order;ordenaré;ordenaremos;ordenarán;ordenará;ordenarás
organize;organizaré;organizaremos;organizarán;organizará;organizarás
paint;pintaré;pintaremos;pintarán;pintará;pintarás
pass;pasaré;pasaremos;pasarán;pasará;pasarás
permit;permitiré;permitiremos;permitirán;permitirá;permitirás
play;jugaré;jugaremos;jugarán;jugará;jugarás
please;complaceré;complaceremos;complacerán;complacerá;complacerás
practise;practicaré;practicaremos;practicarán;practicará;practicarás
present;presentaré;presentaremos;presentarán;presentará;presentarás
pull;tiraré;tiraremos;tirarán;tirará;tirarás
punish;castigaré;castigaremos;castigarán;castigará;castigarás
push;presionaré;presionaremos;presionarán;presionará;presionarás
remember;recordaré;recordaremos;recordarán;recordará;recordarás
remove;removeré;removeremos;removerán;removerá;removerás
repair;repararé;repararemos;repararán;reparará;repararás
reply;responderé;responderemos;responderán;responderá;responderás
rest;descansaré;descansaremos;descansarán;descansará;descansarás
return;regresaré;regresaremos;regresarán;regresará;regresarás
sail;navegaré;navegaremos;navegarán;navegará;navegarás
save;guardaré;guardaremos;guardarán;guardará;guardarás
sign;cantaré;cantaremos;cantarán;cantará;cantarás
smile;sonreiré;sonreiremos;sonreirán;sonreirá;sonreirás
smoke;fumaré;fumaremos;fumarán;fumará;fumarás
start;comenzaré;comenzaremos;comenzarán;comenzará;comenzarás
stop;pararé;pararemos;pararán;parará;pararás
study;estudiaré;estudiaremos;estudiarán;estudiará;estudiarás
surprise;sorprenderé;sorprenderemos;sorprenderán;sorprenderá;sorprenderás
talk;hablaré;hablaremos;hablarán;hablará;hablarás
taste;probaré;probaremos;probarán;probará;probarás
thank;agradeceré;agradeceremos;agradecerán;agradecerá;agradecerás
translate;traduciré;traduciremos;traducirán;traducirá;traducirás
travel;viajaré;viajaremos;viajarán;viajará;viajarás
try;intentaré;intentaremos;intentarán;intentará;intentarás
use;utiilzaré;utilizaremos;utilizarán;utilizará;utilizarás
visit;visitaré;visitaremos;visitarán;visitará;visitarás
wait;esperaré;esperaremos;esperarán;esperará;esperarás
walk;caminaré;caminaremos;caminarán;caminará;caminarás
want;querré;querremos;querrán;querrá;querrás
wash;lavaré;lavaremos;lavarán;lavará;lavarás
watch;miraré;miraremos;mirarán;mirará;mirarás
work;trabajaré;trabajaremos;trabajarán;trabajará;trabajarás
run;correré;correremos;correrán;correrá;correrás
